2020-06-24 11:50:06,841 p=1217 u=admin n=ansible | PLAY [harden server] ********************************************************************************************************************
2020-06-24 11:50:25,958 p=1217 u=admin n=ansible | ok: [GIAVRSSPPQ001] => (item=admin)
2020-06-24 11:50:25,959 p=1217 u=admin n=ansible | ok: [giavrsspre003] => (item=se00_PAT_ans)
2020-06-24 11:50:25,960 p=1217 u=admin n=ansible | ok: [GIAVRSSPPQ001] => (item=sB00_PAT_ans)
2020-06-24 11:50:25,961 p=1217 u=admin n=ansible | ok: [gibvrssppq001] => (item=sB00_PAT_ans)
2020-06-24 11:50:25,962 p=1217 u=admin n=ansible | ok: [giavesmtfs001] => (item=admin)
2020-06-24 11:50:25,963 p=1217 u=admin n=ansible | ok: [giavrsspre003] => (item=admin)
2020-06-24 11:50:25,964 p=1217 u=admin n=ansible | ok: [GIAVRSSPRE002] => (item=admin)
2020-06-24 11:50:25,965 p=1217 u=admin n=ansible | ok: [gibvrssppq001] => (item=sE00_PAT_ad)
2020-06-24 11:50:25,966 p=1217 u=admin n=ansible | ok: [GIAVRSSPPQ001] => (item=sE00_PAT_ad)
2020-06-24 11:50:25,967 p=1217 u=admin n=ansible | ok: [giavesmtfs001] => (item=joseph)
2020-06-24 11:50:25,968 p=1217 u=admin n=ansible | ok: [giavrsspre003] => (item=sE00_PAT_ad)
2020-06-24 11:50:25,969 p=1217 u=admin n=ansible | ok: [gibvrssppq001] => (item=b00-ssp-pqaadm)
2020-06-24 11:50:25,969 p=1217 u=admin n=ansible | ok: [GIAVRSSPPQ001] => (item=b00-ssp-pqaadm)
2020-06-24 11:50:25,970 p=1217 u=admin n=ansible | ok: [GIAVRSSPRE002] => (item=se00-ssp-re)
2020-06-24 11:50:25,971 p=1217 u=admin n=ansible | ok: [giavesmtfs001] => (item=SC00_SMT_RPTP)
2020-06-24 11:50:25,984 p=1217 u=admin n=ansible | ok: [giavrsspre003] => (item=b00-ssp-readm)
2020-06-24 11:50:26,037 p=1217 u=admin n=ansible | ok: [gibvrssppq001] => (item=sb00_PAT_ans)
